Sp,Valor,Altitud,Clade
antonii,11.25,Midland,Draconura
antonii,10.5,Midland,Draconura
antonii,11,Midland,Draconura
antonii,10.48,Midland,Draconura
antonii,10.8,Midland,Draconura
antonii,11.5,Midland,Draconura
antonii,12.8,Midland,Draconura
antonii,11.4,Midland,Draconura
antonii,12.3,Midland,Draconura
antonii,12.5,Midland,Draconura
antonii,16.87,Midland,Draconura
antonii,15.92,Midland,Draconura
antonii,15.87,Midland,Draconura
antonii,13.93,Midland,Draconura
antonii,17.6,Midland,Draconura
antonii,14.11,Midland,Draconura
antonii,14.48,Midland,Draconura
antonii,15.82,Midland,Draconura
antonii,14.62,Midland,Draconura
antonii,15.57,Midland,Draconura
antonii,12.17,Midland,Draconura
antonii,14.53,Midland,Draconura
antonii,15.22,Midland,Draconura
antonii,14.92,Midland,Draconura
antonii,13.9,Midland,Draconura
antonii,15.36,Midland,Draconura
